name,date_apr,date,lot,kettle,compay,wled,base_oil_pct,base_gr_pct,liq_add_pct,sol_add_pct,si_pct,total_pct,pen,elco_xx,Flag for Removal,thickener,adj_base_pct,adj_sol_pct,adj_liq_pct,adj_si_pct,rework
Molylube 3%Moly EP GR LC 1,4/10/23,100,2303300247,BK1,Calumet,620 kg,0.4203067,0.51,0.02,0.05,0.00,1.00,321,FALSE,FALSE,LX,0.8810425,0.0918913,0.0270662,0.0000000,0.0000000
Molylube 3%Moly EP GR LC 1,6/15/22,166,2206150114,BK1,Calumet,620 kg,0.4131909,0.51,0.02,0.06,0.00,1.00,331,FALSE,FALSE,LX,0.8698638,0.1007211,0.0294151,0.0000000,0.0000000
Molylube 5% Moly EP GR AC 1,3/4/23,63,2303010014,BK1,Calumet,800 kg,0.3128402,0.60,0.01,0.08,0.00,1.00,311,FALSE,FALSE,AX,0.8732692,0.1091556,0.0175752,0.0000000,0.0000000
Molylube 5% Moly EP GR AC 1,1/26/23,26,2301250199,BK1,Calumet,800 kg,0.2191987,0.70,0.01,0.07,0.00,1.00,319,FALSE,FALSE,AX,0.8911341,0.0938813,0.0149847,0.0000000,0.0000000
Reladyne Molytech 3% Mining Grease #0,11/2/22,306,Z29225H,BK1,Reladyne,500 kg,0.4971857,0.37,0.08,0.05,0.00,1.00,364,FALSE,FALSE,LX,0.7294776,0.1026119,0.1679104,0.0000000,0.0000000
Reladyne Molytech 3% Mining Grease #1,5/20/22,140,U16132H,BK1,Reladyne,800 kg,0.4993814,0.40,0.06,0.04,0.00,1.00,267,TRUE,FALSE,LX,0.7998203,0.0741406,0.1260391,0.0000000,0.0000000
RSC Heavy Haul #1.5,1/6/21,6,Q05002G,BK1,RS Claire,620 kg @ 1470 rpm,0.0468783,0.92,0.00,0.03,0.00,1.00,300,FALSE,FALSE,RSC,0.9683094,0.0316906,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,2/24/21,55,R20160G,BK1,RS Claire,620 kg @ 1470 rpm,0.0500096,0.92,0.00,0.03,0.00,1.00,300,FALSE,FALSE,RSC,0.9683094,0.0316906,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,1/18/21,18,Q13061G,BK1,RS Claire,620 kg @ 1470 rpm,0.0359329,0.93,0.00,0.03,0.00,1.00,301,FALSE,FALSE,RSC,0.9683094,0.0316906,0.0000000,0.0000000,0.0000000
RSC Heavy Haul #1.5,6/5/21,156,V04011G,BK1,RS Claire,620 kg @ 1470 rpm,0.0594172,0.91,0.00,0.03,0.00,1.00,301,FALSE,FALSE,RSC,0.9683094,0.0316906,0.0000000,0.0000000,0.0000000
